group,n,phat,CI_low,CI_high
risk-overall,906,0.49448123620309054,0.4620175908357239,0.5269914833243373
risk-by-season=0,151,0.5629139072847682,0.4832090849531051,0.6394970697467285
risk-by-season=1,755,0.48079470198675495,0.44534323572234386,0.5164406129816154
risk-by-moon_bin=dark,75,0.5466666666666666,0.4344837385429269,0.6543020361586779
risk-by-moon_bin=mid-,203,0.42857142857142855,0.3624442837709932,0.49735171570926856
risk-by-moon_bin=mid+,297,0.531986531986532,0.47519224384130565,0.5879639450512775
risk-by-moon_bin=bright,331,0.48942598187311176,0.43600432183831217,0.543090262133894
reward-overall,906,0.5342163355408388,0.5016587937644565,0.566484946443164
reward-by-season=0,151,0.36423841059602646,0.29173603627160444,0.4434769983234916
reward-by-season=1,755,0.5682119205298013,0.5326227179031644,0.6031105091138083
reward-by-moon_bin=dark,75,0.37333333333333335,0.2725596912402112,0.48645034885543315
reward-by-moon_bin=mid-,203,0.5714285714285714,0.5026482842907314,0.6375557162290066
reward-by-moon_bin=mid+,297,0.5084175084175084,0.45181782506894413,0.5648022246396304
reward-by-moon_bin=bright,331,0.5709969788519638,0.5171640439738904,0.6232008922127253
