,bat_landing_to_food,seconds_after_rat_arrival,risk,reward,month,hours_after_sunset,season,moon_illum,moon_dark,moon_bright,rat_arrivals_mean,rat_minutes_mean,bat_landings_mean,food_mean,hesitation_z,risk_x_moon
bat_landing_to_food,1.0,0.026,0.168,0.008,0.118,-0.033,0.092,0.046,-0.007,0.03,0.039,0.075,-0.065,0.07,0.931,0.19
seconds_after_rat_arrival,0.026,1.0,0.022,-0.024,0.133,0.077,0.14,0.146,-0.095,0.104,-0.043,0.004,-0.115,0.017,0.042,0.077
risk,0.168,0.022,1.0,-0.625,0.005,-0.059,-0.061,0.012,0.031,-0.008,-0.008,-0.013,0.005,0.049,0.19,0.864
reward,0.008,-0.024,-0.625,1.0,0.073,0.052,0.152,0.069,-0.097,0.056,-0.057,0.047,-0.035,-0.051,0.008,-0.508
month,0.118,0.133,0.005,0.073,1.0,0.045,0.881,0.204,-0.104,0.262,0.047,0.234,-0.279,0.035,0.135,0.098
hours_after_sunset,-0.033,0.077,-0.059,0.052,0.045,1.0,-0.005,-0.032,-0.128,-0.082,0.071,0.126,-0.278,-0.692,-0.001,-0.073
season,0.092,0.14,-0.061,0.152,0.881,-0.005,1.0,0.266,-0.167,0.296,0.011,0.252,-0.157,0.061,0.101,0.088
moon_illum,0.046,0.146,0.012,0.069,0.204,-0.032,0.266,1.0,-0.593,0.72,-0.031,0.201,0.102,0.027,0.042,0.367
moon_dark,-0.007,-0.095,0.031,-0.097,-0.104,-0.128,-0.167,-0.593,1.0,-0.228,0.004,-0.14,-0.039,0.084,-0.021,-0.207
moon_bright,0.03,0.104,-0.008,0.056,0.262,-0.082,0.296,0.72,-0.228,1.0,-0.002,0.205,0.116,0.055,0.021,0.244
rat_arrivals_mean,0.039,-0.043,-0.008,-0.057,0.047,0.071,0.011,-0.031,0.004,-0.002,1.0,0.45,-0.061,-0.056,0.049,-0.015
rat_minutes_mean,0.075,0.004,-0.013,0.047,0.234,0.126,0.252,0.201,-0.14,0.205,0.45,1.0,-0.145,-0.107,0.098,0.07
bat_landings_mean,-0.065,-0.115,0.005,-0.035,-0.279,-0.278,-0.157,0.102,-0.039,0.116,-0.061,-0.145,1.0,0.07,-0.101,0.018
food_mean,0.07,0.017,0.049,-0.051,0.035,-0.692,0.061,0.027,0.084,0.055,-0.056,-0.107,0.07,1.0,0.05,0.081
hesitation_z,0.931,0.042,0.19,0.008,0.135,-0.001,0.101,0.042,-0.021,0.021,0.049,0.098,-0.101,0.05,1.0,0.205
risk_x_moon,0.19,0.077,0.864,-0.508,0.098,-0.073,0.088,0.367,-0.207,0.244,-0.015,0.07,0.018,0.081,0.205,1.0
