variable,dtype,%_missing,n_unique,examples
habit,object,4.5,81,"rat, fast, pick"
hesitation_z,float64,1.4,382,"0.06683394550170926, -0.39097367423770263, -0.27729964859470785"
hour_bin,category,1.4,12,"[1, 2), [3, 4), [4, 5)"
start_time,datetime64[ns],0.0,628,"2017-12-30 18:37:00, 2017-12-30 19:51:00, 2017-12-30 19:52:00"
moon_dark,Int64,0.0,2,"0, 1"
rat_intensity,object,0.0,3,"Low, Med, High"
tsince_rat_cat,category,0.0,3,"30–120s, <30s, >120s"
food_mean,float64,0.0,99,"3.955857385, 3.067911715, 2.561403509"
bat_landings_mean,float64,0.0,82,"20.0, 37.0, 53.0"
rat_minutes_mean,float64,0.0,199,"0.0, 5.0, 4.866666667"
rat_arrivals_mean,float64,0.0,9,"0.0, 1.0, 2.0"
bin30,datetime64[ns],0.0,262,"2017-12-30 18:30:00, 2017-12-30 19:30:00, 2017-12-26 21:00:00"
moon_bin,category,0.0,4,"mid+, bright, mid-"
moon_bright,Int64,0.0,2,"0, 1"
moon_illum,float64,0.0,67,"0.7865, 0.5183, 0.5854"
bat_landing_to_food,float64,0.0,204,"16.0, 0.074015603, 4.0"
date,object,0.0,67,"2017-12-30, 2017-12-26, 2017-12-27"
season,int64,0.0,2,"0, 1"
hours_after_sunset,float64,0.0,895,"1.870833333, 3.100833333, 3.1075"
sunset_time,object,0.0,65,"30/12/2017 16:45, 26/12/2017 16:43, 28/12/2017 16:44"
month,int64,0.0,6,"0, 1, 2"
reward,int64,0.0,2,"0, 1"
risk,int64,0.0,2,"1, 0"
seconds_after_rat_arrival,int64,0.0,501,"108, 17, 41"
rat_period_end,object,0.0,268,"30/12/2017 18:38, 30/12/2017 19:55, 26/12/2017 21:27"
rat_period_start,object,0.0,268,"30/12/2017 18:35, 30/12/2017 19:50, 26/12/2017 21:22"
risk_x_moon,float64,0.0,59,"0.7865, 0.0, 0.5183"
